			
			
			
DESCRIPTION	     PART NUMBER	UnitPrice	Currency
RIVET	CR3213-6-02	8	USD
RIVET	CR3213-6-02	6	USD
NLG TIRE	222K68-2	1055	USD
NLG TIRE	222K68-2	1091	USD
MLG TIRE	DR26221T	1836	USD
EMERGENCY BATTERY PACK	D717-01-100	707	USD
FILTER	043046     	91	USD
TRANSMITTER-TPIS	4305890050	7500	USD
DDRMI COMBINED	63543-253-4	6500	USD
PLUG	SLP5182A3-1	5	USD
LATCH	HA225-1    	1156	USD
CONTROLLER - CSAS	3959A0000K06	18500	USD
BOLT, CSK HD	NAS1580V4T9	64	USD
SWITCH	572757-1 	10621	USD
CONTROLLER - CSAS	3959A0000K06	16000	USD
SWITCH	572757-1 	10245	USD
SWITCH	 J100    	632	USD
VALVE 	MS28889-2               	25	USD
BOLT, CSK HD 	NAS1580V4T14	36	USD
NOZZLE-FUEL LARGE TIP	6840023E18	6000	USD
VALV	67839      	265	USD
Pin	BACP18BC03A08P	0.18	USD
COVER	TAAI3-998130-03	640	USD
infant life vest	216200-0	474	USD
BLANKET ASSY	411A4907-4189       	3125	USD
GRILL	69-43230-5E                  	689	USD
TERMINAL - TERMINAL WIRE ROPE STUD	MS21260S3RH	67	USD
TERMINAL - TERMINAL WIRE ROPE STUD	MS21260S3RH	63	USD
BOLT	NAS1974T23TP 	16	USD
TERMINAL - CYLINDRICAL, CABLE	BACT14A3	62	USD
SOCKET	M39029-30-217	2.11	USD
WIRING HARNESS-BRANCHED	3888449-2	75000	USD
VALVE 	36400049-1 	3150	USD
 FILTERS	7578929   	200	USD
WIRING HARNESS-BRANCHED	3888448-2	67630	USD
WIRING HARNESS-BRANCHED	3888449-2	32500	USD
RECEIVER, VHF NAVIGATION (VIR−432)	622−7194−201	2000	USD
EMERGENCY LOCATOR TRANSMITTER (FIX)	453-5004	8810	USD
#N/A	#N/A	29000	USD
#N/A	#N/A	7000	USD
MOTOR ASSY	2313M347-4	53500	USD
HPT BLADE, CFM56 ENGINE	2100M96P05	27545	USD
 FIRE DETECTOR ASSY	902013-01	3950	USD
EMERGENCY LOCATOR TRANSMITTER (FIX)	453-5004	7650	USD
PUMP, FUEL	724400-2	36000	USD
HPT BLADE, CFM56 ENGINE	2100M96P05	20500	USD
#N/A	#N/A	24000	USD
#N/A	#N/A	4750	USD
#N/A	#N/A	4200	USD
SWITCH	90G97	2800	USD
TRANSMITTER	13TX-0115-A	4720	USD
#N/A	#N/A	6650	USD
#N/A	#N/A	7500	USD
EMERGENCY LOCATOR TRANSMITTER (FIX)	453-5004	8800	USD
PROTECTIVE CAP	30840002	2150	USD
#N/A	#N/A	2150	USD
 FIRE DETECTOR ASSY	902013-01	10500	USD
PUMP, FUEL	724400-2	42500	USD
DUCT	3455-42 	630	USD
LATCH	HA225-1    	4890	USD
PLUG DISCONNECT	1291M56P01	3790	USD
RECEIVER, VHF NAVIGATION (VIR−432)	622−7194−201	2500	USD
BOLT	L8006K9	4	USD
SCREW	NAS1102E3-14	2	USD
WIRING HARNESS-BRANCHED	3888448-2	16000	USD
BRACKET	69-77997-4     	1190	USD
BRACKET	69-77997-4     	857	USD
SCREEN ASSY	285W0755-4	507	USD
TRACK ASSY-CAPTAIN	1A087-0123	6056	USD
SEAT CUP	9-130-07  	63	USD
HOSE	3-049966	540	USD
VALVE 	36400049-1 	4500	USD
NOZZLE-FUEL LARGE TIP	6840023E18	5800	USD
CARTRIDGE FIREX 	897776-01	942	USD
RING	S30310-218	46	USD
COALESCER ASSY	21D10-2	66	USD
RIVET	BACR15DR3AC4	1	USD
SENSOR	1-899-29       	1499	USD
PACKING	720752-58	12	USD
#N/A	#N/A	410	USD
#N/A	#N/A	6500	USD
#N/A	#N/A	50500	USD
#N/A	#N/A	23425	USD
#N/A	#N/A	4900	USD
FILLER	2D2025-12	250	USD
PROTECTIVE CAP	30840002	400	USD
#N/A	#N/A	430	USD
#N/A	#N/A	4900	USD
PLATE ASY	D5348015800700	3700	USD
#N/A	#N/A		USD
#N/A	#N/A	30000	USD
#N/A	#N/A	30000	USD
 FIRE DETECTOR ASSY	902013-01	9000	USD
MOTOR ASSY-CONVERTER L/H	2313M-347-4	54500	USD
#N/A	#N/A	15900	USD
#N/A	#N/A	2495	USD
#N/A	#N/A	5250	USD
PUMP, FUEL	724400-2	30900	USD
OIL QUANTITY TRANSMITTER (ДАТЧИК КОЛ	76-167-4	13600	USD
#N/A	#N/A	50000	USD
#N/A	#N/A		USD
#N/A	#N/A		USD
#N/A	#N/A		USD
ACTUATOR-LPC, BLEED VANE ACTUATION	1020929-1        	165000	USD
Aspirator	D37008-107	7900	USD
HOUSING INL GDE VANE	3810808-3	12250	USD
SKIN	335-023-810-0	145	USD
340-001-036-0	340-001-036-0	39000	USD
RIVET	BACR15GF4D10	251	USD
HINGE	2D1025-1	601	USD
340-001-036-0	340-001-036-0	60000	USD
SEAL	D5463061900000	485	USD
UNIT, HUMIDIFIER CONTROL	 GG546-2125-5 	7700	USD
COFFEEMAKER	3510-0053-01   	6000	USD
seal	ST6202-010	9	USD
assembly regulator, transducer and coupling	803163-23	9500	USD
INDICATOR, INTEGRATED STANDBY	C16221AA02	76500	USD
APU load control valve	3885091-3	259	USD
Aspirator Assembly	60322-105	3200	USD
STARTER V2500	790425A6	70000	USD
Aspirator	66915-101	4750	USD
Aspirator	66068-101	2200	USD
Aspirator	D37008-107	4893	USD
Aspirator Assembly	60322-105	2826	USD
Extinguisher	863470-01	6000	USD
Extinguisher	863470-01	5500	USD
COFFEEMAKER	3510-0053-01   	1500	USD
SEAL - CAP	810483-2	710	USD
SEAL - CAP	810483-2	670	USD
ANTENNA RADIO ALTIMETER	DMPN19-1-1	2100	USD
TRANSMITTER-TPIS	4305890050	7500	USD
CARTRIDGE FIREX 	897776-01	2600	USD
VALVE-AIR RELEASE	 FRH280002	1675	USD
TRANSDUCER	41SG265-1	890	USD
VALVE PRESSURE REGULATING	1306-918	3250	USD
TIRE, NOSEWHEEL	027−614−0	423	USD
INDICATOR	SEDL0C9C 	6000	USD
BOOST PUMP	P99C31-616	50000	USD
DUCT	3810948-1	8000	USD
FACE SEAL	211691-00	1184	USD
TIRE, NOSEWHEEL	027−614−0	369	USD
VALVE-AIR RELEASE	 FRH280002	1500	USD
GASKET	JR0E90	990	USD
NAV LIGHT, ASSY, GREEN	2LA007182-22 	1900	USD
SOV ACTUATOR ASSY, 28 VDC	2950004-304	38500	USD
VALVE PRESSURE REGULATING	1306-918	12950	USD
MASK - FULL FACE	 MF10-05-11 	3000	USD
FUEL PROBE	20146-0102	926	USD
 FIRE DETECTOR ASSY	902013-01	7500	USD
NUT	NAS1473R3	14	USD
PROTECTIVE CAP	30840002	2006	USD
MASK - FULL FACE	 MF10-05-11 	2800	USD
MASK - FULL FACE	 MF10-05-11 		USD
LAMP	1982SP	14	USD
 DEU	4081600-940	65000	USD
DETECTOR-SMOKE CARGO	 PPA1102-00 	1000	USD
DETECTOR-SMOKE CARGO	 PPA1102-00 	1500	USD
MASK - FULL FACE	 MF10-05-11 	3000	USD
SMOKE DETECTOR - LAV	 PPA1202-00 	9000	USD
 SPRING	2E3029-1   	235	USD
CARTRIDGE - ENGINE FIREX	 LH FWD 446158 	1300	USD
INDICATOR, INTEGRATED STANDBY	C16221AA02	53500	USD
CONTROLLER - CSAS	3959A0000K06	10350	USD
CARTRIDGE - ENGINE FIREX	 LH FWD 446158 	1375	USD
NAV LIGHT, ASSY, GREEN	2LA007182-22 	950	USD
 FIRE DETECTOR ASSY	902013-01	4750	USD
MASK - FULL FACE	 MF10-05-11 	3000	USD
 FIRE DETECTOR ASSY	902013-01	3950	USD
GASKET	46-4071-1	390	USD
PUMP, FUEL	724400-2	17000	USD
BUMPER ASSEMBLY	46-3191-1	557	USD
HARNESS	46-3546-7	27017	USD
TRANSFORMER	55-2575-3	3288	USD
COMPUTER	4082499-903	3350	USD
Cylinder	D65519	5980	USD
LIFE VEST	63600-101	154	USD
LENS ASSY-RH	31-9292-2	7500	USD
LENS ASSY-RH	31-9292-2	18769	USD
EQUIPMENT - DISTANCE MEASURING (DME)	066-1070-01 	4800	USD
SMOKE DETECTOR - LAV	 PPA1202-00 	800	USD
LIFE VEST	63600-101	130	USD
SHIELD HEAT	"GA32441 	"	2250	USD
LATCH ASSY	"FA259-50600-000 	"	525	USD
BEARING	"42620-20629 	"	110	USD
#N/A	#N/A	1200	USD
HOSE, RTN HEATER	338-129-251-0        	3400	USD
#N/A	#N/A	3400	USD
 FIRE DETECTOR ASSY	902013-01	4750	USD
#N/A	#N/A	1500	USD
#N/A	#N/A	5000	USD
PUMP, FUEL	724400-2	50000	USD
#N/A	#N/A	49500	USD
#N/A	#N/A	395	USD
OVERHEAT PROTECTOR	L15305-01	240	USD
SPRING	150500-08	102	USD
JUMPER BONDING	B0312003-12-10-10-04	175	USD
JUMPER BONDING	B0312003-12-10-10-04	157	USD
LENS ASSY-RH	31-9292-2	15881	USD
CARTRIDGE - APU FIREX	 MA805300-12 	946	USD
CARTRIDGE - ENGINE FIREX 	 LH AFT 30903886 	997	USD
Landing Taxi Light LH 	1X4455178-50	7500	USD
EQUIPMENT - DISTANCE MEASURING (DME)	066-1070-01 	3000	USD
CARTRIDGE - ENGINE FIREX 	 LH AFT 30903886 	1450	USD
MASK - FULL FACE	 MF10-05-11 	2295	USD
OIL QUANTITY TRANSMITTER (ДАТЧИК КОЛ	76-167-4		USD
PUMP, FUEL	724400-2	40000	USD
EMERGENCY LIGHT POWER SUPPLY	8ES409800-00	6270	USD
WINDSHIELD, RH, GLASS,HEATED	NP187301-20	80000	USD
TIRE, NLG	217K22-1	1515	USD
CLIP, LKG 	MS21256-2	3	USD
TIRE, MLG	382K02-1	4877	USD
TIRE, MLG	382K02-1	4119	USD
WINDSHIELD, RH	GC331-0001-14	105000	USD
WINDOW ASSY, SIDE, LHS	GC331-0003-7	95000	USD
GPS MODULE	245-604067-001	34375	USD
HARNESS	CA243-01	10277	USD
AXIS	S2541511220200	815	USD
MOTOR ASSY-CONVERTER L/H	2313M-347-4	55000	USD
SEAL ASSY	314A1502-53	5800	USD
ACTUATOR-RUDDER TRIM	6137-5	16500	USD
BATTERY	RG-390E	4726	USD
FILTER	EV949000	51.25	USD
LAMP	E0401-06	28.41	USD
NUT	BMN10HRC9	22.37	USD
SEAL ASSY	740-0553-501	3320	USD
SEAL ASSY	740-0553-502	3600	USD
RETAINER	740-2001-515	950	USD
RETAINER	740-2001-501	1330	USD
Under Water Locator Beacon	266-E5542-00	5500	USD
PLUG	CH31904-2	1280	USD
BRAKE ASSY	2612312-1	33000	USD
PBE Protective Breathing Equipment	MR10042N	6040	USD
BRAKE ASSY	2612312-1	24950	USD
VALVE-ANTI ICE	327155-1	29000	USD
 WINDSHIELD - HEATED BIRDPROOF RH	C6SC1062-4	31995	USD
BEARING CUP	LM328410-20629	355	USD
PIN-ACTUATOR	14G0269-203	961	USD
ELBOW-BOWL	14330-196	750	USD
EMERGENCY BATTERY PACK	D717-01-100	2550	USD
 WATER HEATER	24E507009G03	2700	USD
ELBOW-BOWL	14330-196	2480	USD
#N/A	#N/A	1300	USD
 WATER HEATER	24E507009G03	3700	USD
WATER BUNG, UPPER LIGHT 	9GD407424-11	20	USD
 WATER HEATER	24E507009G03	4794	USD
WEB	65-46544-556	1950	USD
SEAL	171-00637-001	825	USD
PIVOT ASSY	41102012-501	2725	USD
FL FTG ASSY ,OUTBD,LH WINDSCREEN,US	171-40274-401	125	USD
ROD ASSY	41102016-501	660	USD
PROFILE L	170-15805-002	90	USD
PROFILE L	170-15804-001	125	USD
#N/A	#N/A	22500	USD
SEAL, SILICONE-SLAT4,OUTBD	170-31358-904	873	USD
PROFILE L	170-15804-001	150	USD
PROFILE L	170-15805-002	120	USD
SEAL	171-00637-001	896	USD
HINGE ASSY	114T0220-20	2823	USD
HINGE ASSY	114T0220-21	2154	USD
PBE Protective Breathing Equipment	MR10042N	1600	USD
SENSOR, TEMPERATURE	GG436-4003-5	4260	USD
TRANSDCR,FUEL DIFFERENTIAL PRESSURE	2758M29P02	7703	USD
HARNESS-CJ9	325-045-202-0	25500	USD
TURBINE SHAFT	3822504-3	28000	USD
GG436-1006-7	TERMOSTAT	7000	USD
RADIO PANEL	C12848EA01	60000	USD
BEARING CUP	LM328448-20629	623	USD
RING 4-ROTATING	336-003-102-0	6000	USD
UNIT, HYDROMECHANICAL	8061-536	155000	USD
CELL, CVH271KH, ASSEMBLY	415227	533	USD
LEAD-BONDING	E0091-48-200	4	USD
LAMP	MS25069-1495	1	USD
BEARING	161A1163-1	6793	USD
BEARING	161A1158-1	3284	USD
BEARING	162A1527-1	3168	USD
UNIT, HYDROMECHANICAL	8061-536	105000	USD
BRAKE ASSY	2612312-1	23500	USD
EXCITER, IGNITION UNIT	10-631045-3	2850	USD
TUBE ASSY	272A6101-124/272A6101-224	3722	USD
TUBE ASSY	272A6101-103/272A6101-503	3999	USD
SLIDE ASSY 737	5A3307-9	13950	USD
Plug.Ignitor APU	304634-2	6390	USD
DECODER ENCODER UNIT TYPE B	Z043H000351A	2175	USD
DUCT	3810948-1	8000	USD
PACKING	MS9967-128	5.55	USD
PLATE	114T0220-19	2823	USD
BEARING ASSY	65C37814-1	32430	USD
ISOLATOR ASSYISOLATOR ASSYISOLATOR ASSY	285W1001-3 	128	USD
WINDOW ASSY, SIDE, LHS	GC331-0003-7	90000	USD
WINDOW ASSY, SIDE, RHS	GC331-0003-8	80000	USD
HOSE ASSY	16135-96	4775	USD
ISOLATOR ASSYISOLATOR ASSYISOLATOR ASSY	285W1001-2 	207	USD
ISOLATOR ASSYISOLATOR ASSYISOLATOR ASSY	285W1001-2 	133	USD
TRANSMITTER-OIL PRESSURE	41SG381-1	1250	USD
RIVET	BACR15FT6D10C	0.34	USD
